32a - Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods

Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Southern Asia,524,Nepal,2017,Female,15 to 49 years old,-,-,56,-,-,Percentage,Country data,-,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,108,Burundi,2017,Female,15 to 49 years old,-,-,38,-,-,Percentage,Country data,-,-,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,231,Ethiopia,2017,Female,15 to 49 years old,-,-,60.1,-,-,Percentage,Country data,-,-,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,288,Ghana,2017,Female,15 to 49 years old,-,-,46.2,-,-,Percentage,Country data,-,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,384,Côte d'Ivoire,2017,Female,15 to 49 years old,-,-,42.1,-,-,Percentage,Country data,-,-,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,404,Kenya,2017,Female,15 to 49 years old,-,-,76,-,-,Percentage,Country data,-,-,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,450,Madagascar,2017,Female,15 to 49 years old,-,-,60.5,-,-,Percentage,Country data,-,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,562,Niger,2017,Female,15 to 49 years old,-,-,44.1,-,-,Percentage,Country data,-,-,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,566,Nigeria,2017,Female,15 to 49 years old,-,-,37.4,-,-,Percentage,Country data,-,-,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,686,Senegal,2017,Female,15 to 49 years old,-,-,50.9,-,-,Percentage,Country data,-,-,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,694,Sierra Leone,2017,Female,15 to 49 years old,-,-,44.7,-,-,Percentage,Country data,-,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,800,Uganda,2017,Female,15 to 49 years old,-,-,53.3,-,-,Percentage,Country data,-,-,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Sub-Saharan Africa,854,Burkina Faso,2017,Female,15 to 49 years old,-,-,46.2,-,-,Percentage,Country data,-,-,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Latin America and the Caribbean,332,Haiti,2017,Female,15 to 49 years old,-,-,43.1,-,-,Percentage,Country data,-,-,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Latin America and the Caribbean,604,Peru,2017,Female,15 to 49 years old,-,-,66.6,-,-,Percentage,Country data,-,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Caucasus and Central Asia,762,Tajikistan,2017,Female,15 to 49 years old,-,-,44.8,-,-,Percentage,Country data,-,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,South-eastern Asia,360,Indonesia,2017,Female,15 to 49 years old,-,-,77.6,-,-,Percentage,Country data,-,-,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,South-eastern Asia,418,Lao People's Democratic Republic,2017,Female,15 to 49 years old,-,-,71.6,-,-,Percentage,Country data,-,The global indicator represents all women of reproductive age. This survey estimate represents women who are married or in a union.,-,-,-,-
Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,South-eastern Asia,608,Philippines,2017,Female,15 to 49 years old,-,-,52.5,-,-,Percentage,Country data,-,-,-,-,-,-
