36 - Proportion of births attended by skilled health personnel

Indicator Name,Region,Country Code,Country,Year,Sex,Age,Location,Occupation,Value,LowerBound,UpperBound,Unit,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of births attended by skilled health personnel,Southern Asia,4,Afghanistan,2017,Female,-,-,-,53.4,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,50,Bangladesh,2017,Female,-,-,-,67.8,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Southern Asia,64,Bhutan,2017,Female,-,-,-,97.2,-,-,Percentage,Country data,-,No / unclear definition of the cadres included,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,20,Andorra,2017,Female,-,-,-,100,-,-,Percentage,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,40,Austria,2017,Female,-,-,-,98.4,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,70,Bosnia and Herzegovina,2017,Female,-,-,-,99.9,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,124,Canada,2017,Female,-,-,-,97.9,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,191,Croatia,2017,Female,-,-,-,99.9,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,196,Cyprus,2017,Female,-,-,-,96,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,203,Czech Republic,2017,Female,-,-,-,99.8,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,208,Denmark,2017,Female,-,-,-,94.7,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,233,Estonia,2017,Female,-,-,-,99.2,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2017,Female,-,-,-,99.9,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2017,Female,-,-,-,98,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2017,Female,-,-,-,98.7,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2017,Female,-,-,-,99.93,-,-,Percentage,Country data,-,No / unclear definition of the cadres included,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2017,Female,-,-,-,99.7,-,-,Percentage,Country data,-,No / unclear definition of the cadres included,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2017,Female,-,-,-,99.9,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,428,Latvia,2017,Female,-,-,-,99.9,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,470,Malta,2017,Female,-,-,-,99.7,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,578,Norway,2017,Female,-,-,-,99.2,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,616,Poland,2017,Female,-,-,-,99.8,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,620,Portugal,2017,Female,-,-,-,98.8,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,807,North Macedonia,2017,Female,-,-,-,99.9,-,-,Percentage,Country data,-,No / unclear definition of the cadres included,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,840,United States of America,2017,Female,-,-,-,99.1,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Oceania,584,Marshall Islands,2017,Female,-,-,-,92.4,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Oceania,585,Palau,2017,Female,-,-,-,100,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Sub-Saharan Africa,108,Burundi,2017,Female,-,-,-,85.1,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Sub-Saharan Africa,288,Ghana,2017,Female,-,-,-,78.1,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Sub-Saharan Africa,566,Nigeria,2017,Female,-,-,-,43,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Sub-Saharan Africa,686,Senegal,2017,Female,-,-,-,68.4,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Sub-Saharan Africa,694,Sierra Leone,2017,Female,-,-,-,81.6,-,-,Percentage,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,28,Antigua and Barbuda,2017,Female,-,-,-,100,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,32,Argentina,2017,Female,-,-,-,93.9,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,68,Bolivia (Plurinational State of),2017,Female,-,-,-,71.3,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,84,Belize,2017,Female,-,-,-,92.2,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,170,Colombia,2017,Female,-,-,-,99.3,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,188,Costa Rica,2017,Female,-,-,-,98.7,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,192,Cuba,2017,Female,-,-,-,99.9,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,212,Dominica,2017,Female,-,-,-,97,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,218,Ecuador,2017,Female,-,-,-,96.4,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,222,El Salvador,2017,Female,-,-,-,99.9,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,308,Grenada,2017,Female,-,-,-,98.9,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,332,Haiti,2017,Female,-,-,-,41.6,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,340,Honduras,2017,Female,-,-,-,74,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,558,Nicaragua,2017,Female,-,-,-,89.6,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,591,Panama,2017,Female,-,-,-,94.2,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,600,Paraguay,2017,Female,-,-,-,97.3,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,604,Peru,2017,Female,-,-,-,93.6,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,662,Saint Lucia,2017,Female,-,-,-,99,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,780,Trinidad and Tobago,2017,Female,-,-,-,100,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,858,Uruguay,2017,Female,-,-,-,99.7,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Latin America and the Caribbean,862,Venezuela (Bolivarian Republic of),2017,Female,-,-,-,95.4,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Caucasus and Central Asia,31,Azerbaijan,2017,Female,-,-,-,99.8,-,-,Percentage,Country data,-,No / unclear definition of the cadres included,-,-,-,-
Proportion of births attended by skilled health personnel,Caucasus and Central Asia,762,Tajikistan,2017,Female,-,-,-,94.8,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Western Asia,634,Qatar,2017,Female,-,-,-,100,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,Western Asia,682,Saudi Arabia,2017,Female,-,-,-,99.7,-,-,Percentage,Country data,-,No / unclear definition of the cadres included,-,-,-,-
Proportion of births attended by skilled health personnel,Western Asia,792,Turkey,2017,Female,-,-,-,98,-,-,Percentage,Country data,-,Definition includes other cadres that is not in alignment with the standard definition,-,-,-,-
Proportion of births attended by skilled health personnel,South-eastern Asia,96,Brunei Darussalam,2017,Female,-,-,-,99.8,-,-,Percentage,Country data,-,No / unclear definition of the cadres included,-,-,-,-
Proportion of births attended by skilled health personnel,South-eastern Asia,360,Indonesia,2017,Female,-,-,-,93.25,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,South-eastern Asia,418,Lao People's Democratic Republic,2017,Female,-,-,-,64.4,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,South-eastern Asia,608,Philippines,2017,Female,-,-,-,84.4,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
Proportion of births attended by skilled health personnel,South-eastern Asia,702,Singapore,2017,Female,-,-,-,99.6,-,-,Percentage,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-
Proportion of births attended by skilled health personnel,Eastern Asia,408,Democratic People's Republic of Korea,2017,Female,-,-,-,99.5,-,-,Percentage,Country data,-,Cadres included align with the standard definition of: Doctor  nurse and/or midwife,-,-,-,-
