Country,2017
Afghanistan,541
Albania,9702
Algeria,4232
Angola,5063
Argentina,12395
Armenia,6358
Australia,35323
Austria,35626
Azerbaijan,10089
Bahamas,22156
Bahrain,18774
Bangladesh,2041
Barbados,13509
Belarus,13479
Belgium,33260
Belize,5689
Benin,1795
Bhutan,6002
Bolivia (Plurinational State of),4686
Bosnia and Herzegovina,7723
Botswana,12613
Brazil,10073
Brunei Darussalam,63939
Bulgaria,14777
Burkina Faso,1289
Burundi,807
Cabo Verde,4295
Cambodia,2970
Cameroon,2751
Canada,34928
Central African Republic,521
Chad,1412
Chile,15137
China,12053
Colombia,10271
Comoros,1027
Congo,4905
Congo (Democratic Republic of the),703
Costa Rica,10419
Croatia,17507
Cuba,5001
Cyprus,26580
Czechia,23224
Côte d'Ivoire,2529
Denmark,40293
Djibouti,2491
Dominican Republic,8909
Ecuador,7388
Egypt,4081
El Salvador,5226
Equatorial Guinea,14869
Eritrea,1451
Estonia,21896
Eswatini (Kingdom of),5722
Ethiopia,1304
Fiji,5604
Finland,34504
France,32518
Gabon,11789
Gambia,1168
Georgia,6177
Germany,37689
Ghana,3349
Greece,19658
Guatemala,4768
Guinea,1804
Guinea-Bissau,1269
Guyana,4543
Haiti,1400
Honduras,3277
"Hong Kong, China (SAR)",43813
Hungary,19931
Iceland,38004
India,2722
Indonesia,7259
Iran (Islamic Republic of),6094
Iraq,6039
Ireland,42771
Israel,24620
Italy,25767
Jamaica,5898
Japan,27209
Jordan,2459
Kazakhstan,16814
Kenya,2529
Korea (Republic of),22572
Kuwait,39570
Kyrgyzstan,2159
Lao People's Democratic Republic,5354
Latvia,20822
Lebanon,5523
Lesotho,2608
Liberia,577
Libya,4623
Lithuania,24366
Luxembourg,51154
Madagascar,1173
Malawi,897
Malaysia,20004
Maldives,7064
Mali,1345
Malta,24255
Mauritania,1936
Mauritius,12558
Mexico,11065
Moldova (Republic of),4849
Mongolia,8482
Montenegro,12967
Morocco,3197
Mozambique,1052
Myanmar,3860
Namibia,8895
Nepal,2219
Netherlands,38767
New Zealand,25872
Nicaragua,3434
Niger,691
Nigeria,4433
Norway,60153
Oman,11246
Pakistan,1642
"Palestine, State of",1802
Panama,13229
Papua New Guinea,3002
Paraguay,6212
Peru,8446
Philippines,7582
Poland,20367
Portugal,23095
Qatar,59164
Romania,18217
Russian Federation,19510
Rwanda,1568
Saint Lucia,9388
Saint Vincent and the Grenadines,7643
Samoa,3778
Sao Tome and Principe,1780
Saudi Arabia,17422
Senegal,1691
Serbia,10672
Sierra Leone,1096
Singapore,69508
Slovakia,22600
Slovenia,26898
Solomon Islands,1450
South Africa,9060
South Sudan,843
Spain,26954
Sri Lanka,6462
Sudan,1785
Suriname,9132
Sweden,41743
Switzerland,47938
Syrian Arab Republic,561
Tajikistan,2233
Tanzania (United Republic of),2282
Thailand,13793
The former Yugoslav Republic of Macedonia,9114
Timor-Leste,3301
Togo,1265
Tonga,3769
Trinidad and Tobago,22008
Tunisia,4537
Turkey,15576
Turkmenistan,11240
Uganda,1212
Ukraine,6082
United Arab Emirates,24973
United Kingdom,28043
United States,43899
Uruguay,15282
Uzbekistan,4687
Vanuatu,2340
Venezuela (Bolivarian Republic of),7401
Viet Nam,5345
Yemen,149
Zambia,2986
Zimbabwe,1431
Andorra,..
Antigua and Barbuda,..
Dominica,..
Grenada,..
Kiribati,..
Korea (Democratic People's Rep. of),..
Liechtenstein,..
Marshall Islands,..
Micronesia (Federated States of),..
Monaco,..
Nauru,..
Palau,..
Saint Kitts and Nevis,..
San Marino,..
Seychelles,..
Somalia,..
Tuvalu,..
